# z d_lum error
0.010000 0.010828 0.001512
0.020000 0.019887 0.003046
0.030000 0.033672 0.004604
0.040000 0.050640 0.006183
0.050000 0.050080 0.007785
0.060000 0.060528 0.009410
0.070000 0.091163 0.011056
0.080000 0.094584 0.012723
0.090000 0.089312 0.014412
0.100000 0.116224 0.016122
0.110000 0.110742 0.017852
0.120000 0.121559 0.019603
0.130000 0.147672 0.021375
0.140000 0.110120 0.023167
0.150000 0.123436 0.024978
0.160000 0.163654 0.026809
0.170000 0.162038 0.028660
0.180000 0.213124 0.030530
0.190000 0.186685 0.032418
0.200000 0.180360 0.034326
0.210000 0.294810 0.036252
0.220000 0.246015 0.038196
0.230000 0.270433 0.040158
0.240000 0.220885 0.042138
0.250000 0.270213 0.044136
0.260000 0.312794 0.046151
0.270000 0.265765 0.048184
0.280000 0.353758 0.050233
0.290000 0.317247 0.052299
0.300000 0.346682 0.054382
0.310000 0.342553 0.056481
0.320000 0.499176 0.058596
0.330000 0.404028 0.060727
0.340000 0.352658 0.062874
0.350000 0.487074 0.065037
0.360000 0.366039 0.067215
0.370000 0.477215 0.069408
0.380000 0.337096 0.071616
0.390000 0.394187 0.073839
0.400000 0.522152 0.076076
0.410000 0.580032 0.078328
0.420000 0.551109 0.080595
0.430000 0.542916 0.082875
0.440000 0.542151 0.085169
0.450000 0.453846 0.087477
0.460000 0.534019 0.089799
0.470000 0.571787 0.092134
0.480000 0.729762 0.094482
0.490000 0.678902 0.096844
0.500000 0.486528 0.099218
0.510000 0.710295 0.101605
0.520000 0.653314 0.104005
0.530000 0.637409 0.106417
0.540000 0.792183 0.108841
0.550000 0.856577 0.111278
0.560000 0.864084 0.113726
0.570000 0.677070 0.116186
0.580000 0.754365 0.118658
0.590000 0.847743 0.121142
0.600000 0.944859 0.123637
0.610000 0.780510 0.126143
0.620000 0.833850 0.128661
0.630000 0.729454 0.131189
0.640000 0.731555 0.133728
0.650000 1.019251 0.136278
0.660000 1.113891 0.138839
0.670000 0.932550 0.141410
0.680000 1.104443 0.143991
0.690000 1.030230 0.146583
0.700000 0.898324 0.149185
0.710000 1.066837 0.151797
0.720000 1.266957 0.154418
0.730000 1.041373 0.157050
0.740000 1.314466 0.159691
0.750000 0.656984 0.162342
0.760000 1.235626 0.165002
0.770000 1.132402 0.167671
0.780000 1.084728 0.170350
0.790000 1.169460 0.173037
0.800000 0.822276 0.175734
0.810000 1.150398 0.178439
0.820000 1.272385 0.181154
0.830000 1.497597 0.183877
0.840000 1.147343 0.186609
0.850000 1.109237 0.189349
0.860000 1.184262 0.192097
0.870000 1.477397 0.194854
0.880000 1.382429 0.197619
0.890000 1.229790 0.200392
0.900000 1.458774 0.203174
0.910000 1.393080 0.205963
0.920000 1.593947 0.208760
0.930000 1.261902 0.211565
0.940000 1.358939 0.214377
0.950000 1.362818 0.217197
0.960000 1.144824 0.220025
0.970000 1.551728 0.222860
0.980000 1.563606 0.225703
0.990000 1.524852 0.228553
1.000000 1.488444 0.231410
1.010000 1.230240 0.234274
1.020000 1.481212 0.237145
1.030000 1.517894 0.240023
1.040000 1.424508 0.242908
1.050000 1.599024 0.245800
1.060000 1.758480 0.248699
1.070000 2.151935 0.251604
1.080000 1.741209 0.254516
1.090000 1.782537 0.257435
1.100000 1.716353 0.260360
1.110000 1.250083 0.263292
1.120000 1.767807 0.266230
1.130000 1.810707 0.269174
1.140000 2.484475 0.272125
1.150000 1.780962 0.275082
1.160000 1.937473 0.278044
1.170000 1.863669 0.281013
1.180000 1.561365 0.283988
1.190000 2.241084 0.286969
1.200000 2.151069 0.289956
1.210000 2.184725 0.292949
1.220000 1.703852 0.295947
1.230000 2.412378 0.298952
1.240000 1.589772 0.301962
1.250000 2.212158 0.304977
1.260000 2.727977 0.307998
1.270000 1.765417 0.311025
1.280000 1.915863 0.314057
1.290000 2.145561 0.317094
1.300000 1.973067 0.320137
1.310000 1.653418 0.323185
1.320000 2.197295 0.326239
1.330000 1.845504 0.329298
1.340000 2.373148 0.332362
1.350000 1.927802 0.335431
1.360000 2.781359 0.338505
1.370000 2.009680 0.341584
1.380000 2.186784 0.344668
1.390000 2.601290 0.347757
1.400000 1.907160 0.350852
1.410000 2.440179 0.353950
1.420000 2.847083 0.357054
1.430000 1.822130 0.360163
1.440000 2.488915 0.363276
1.450000 2.537848 0.366394
1.460000 2.752344 0.369517
1.470000 2.023353 0.372644
1.480000 2.008979 0.375776
1.490000 2.723856 0.378913
1.500000 2.660490 0.382054
